StationNum,StationName
0, '204国道王台交通警察执法站'
1, '一汽大众'
2, '丁家大庄'
3, '丁家官庄站'
4, '丁家寨站'
5, '丁家柳沟'
6, '丁家河'
7, '丁家河2'
8, '丁家河地铁站'
9, '丁家河站'
10, '丁家洼'
11, '丁戈庄'
12, '丁石桥'
13, '丁石桥站'
14, '丁石洼'
15, '丁石洼社区站'
16, '丁莪家庄'
17, '丁莪家庄站'
18, '七中站'
19, '七二五所'
20, '七亩地站'
21, '七墩山路站'
22, '七宝山'
23, '七峪东'
24, '七栋洋房'
25, '七间房'
26, '万安一路'
27, '万安三路'
28, '万安二路'
29, '万安路'
30, '万年泉路青山路'
31, '万德花园'
32, '万德花园站'
33, '万福花园'
34, '万科城'
35, '万科生态城'
36, '万象城'
37, '万达中央广场'
38, '万通站'
39, '万里江茶园'
40, '三台小学'
41, '三合村'
42, '三和贵房产'
43, '三官庙'
44, '三家庄'
45, '三水'
46, '三沙路'
47, '三沙路站'
48, '上山色峪'
49, '上山色峪停车场'
50, '上崖'
51, '上崖社区'
52, '上柳连庄'
53, '上柴'
54, '上柴西'
55, '上汽通用五菱'
56, '上汽通用五菱南门'
57, '上汽通用五菱站'
58, '上流家园'
59, '上流汇'
60, '上流汇站'
61, '上清支路'
62, '上王埠社区'
63, '上王埠社区站'
64, '上疃'
65, '上疃南'
66, '上疃站'
67, '上臧'
68, '上臧社区站'
69, '上葛'
70, '上饶路'
71, '上饶路站'
72, '上马'
73, '上马停车场'
74, '上马北'
75, '上马生态园'
76, '上马社区卫生中心'
77, '下丁家洼'
78, '下山色峪'
79, '下崖南'
80, '下崖社区'
81, '下村'
82, '下村南'
83, '下柳连庄'
84, '下柴'
85, '下河山'
86, '下王埠东'
87, '下王埠东站'
88, '下王埠立交桥北站'
89, '下葛场'
90, '下葛场社区'
91, '下葛场西'
92, '下藏马一村'
93, '下藏马三村'
94, '下马社区'
95, '不过涧站'
96, '世博园'
97, '世博园停车场'
98, '世博城北'
99, '世园大道东川路'
100, '世园大道松岭路'
101, '世园大道汇川路'
102, '世园大道汉川路'
103, '世园大道青峪路'
104, '世园广场南路常川路'
105, '世纪公寓'
106, '世纪公寓站'
107, '世纪地下商场'
108, '世纪大道地铁站'
109, '世纪新村北站'
110, '世纪新村南'
111, '世纪新村南站'
112, '世纪新村西站'
113, '世纪绿洲'
114, '世纪花园北'
115, '世纪花园站'
116, '世茂公园美地'
117, '世茂红墅湾'
118, '世贸中心'
119, '丙村'
120, '丙村站'
121, '丛家屯'
122, '东上庄'
123, '东下泊'
124, '东乌衣巷'
125, '东九水'
126, '东佳路'
127, '东元庄'
128, '东元机电站'
129, '东关新村'
130, '东关路站'
131, '东冯家滩'
132, '东北庄'
133, '东十字路站'
134, '东十字路西'
135, '东华山路金孔雀路'
136, '东南山'
137, '东古镇'
138, '东古镇小区'
139, '东古镇西'
140, '东台'
141, '东台头站'
142, '东台村北'
143, '东和科技'
144, '东埠后'
145, '东大村'
146, '东大洋'
147, '东大洋西'
148, '东大洼站'
149, '东女姑山'
150, '东姜'
151, '东宅子头'
152, '东宅科'
153, '东寺站'
154, '东封家庄站'
155, '东小庄小区'
156, '东小郐家沟'
157, '东小郐家沟西站'
158, '东山小区'
159, '东山张南站'
160, '东山张西'
161, '东岚桑'
162, '东岳中路'
163, '东岳中路站'
164, '东岳路墨香路'
165, '东川路九水东路'
166, '东川路广水路'
167, '东川路涞水路'
168, '东川路金水路'
169, '东平路'
170, '东平路定陶路'
171, '东庄站'
172, '东张哥庄'
173, '东新村'
174, '东新村站'
175, '东方佳苑小区'
176, '东方华庭北门'
177, '东方华庭北门站'
178, '东方工业品集团'
179, '东方影都'
180, '东方影都站'
181, '东方时尚中心'
182, '东方海景'
183, '东方海景站'
184, '东方红站'
185, '东方贝壳文化博览园'
186, '东方金石站'
187, '东旺疃社区'
188, '东朱雀'
189, '东李新苑'
190, '东李权庄'
191, '东李村'
192, '东李村站'
193, '东李立交桥'
194, '东杨'
195, '东杨家洼'
196, '东桥'
197, '东桥子站'
198, '东楼路'
199, '东河套'
200, '东河套社区'
201, '东法家庄'
202, '东泰小学'
203, '东洞门'
204, '东流亭'
205, '东海一路'
206, '东海一路新湛路'
207, '东海一路新湛路站'
208, '东海东路海川路'
209, '东海东路海游路'
210, '东海东路海龙路'
211, '东海东路麦岛路'
212, '东海中路台南路'
213, '东海中路台湾路'
214, '东海中路麦岛路'
215, '东海药业'
216, '东海药业站'
217, '东海西路福州南路'
218, '东海西路金平路'
219, '东温泉'
220, '东港头南'
221, '东港头站'
222, '东漕汶西'
223, '东潘家庄站'
224, '东潮河西'
225, '东灰'
226, '东灰村'
227, '东王家屯'
228, '东王家柳沟'
229, '东田'
230, '东田社区'
231, '东盐滩社区'
232, '东石格庄'
233, '东砚瓦'
234, '东碾头'
235, '东篱桃源'
236, '东篱桃源站'
237, '东红石'
238, '东红石西'
239, '东苑绿世界'
240, '东荆社区'
241, '东草夼'
242, '东莞路'
243, '东葛'
244, '东蓝家庄'
245, '东蓝家庄火炬路'
246, '东蔡家'
247, '东赵'
248, '东辛庄东站'
249, '东辛庄西'
250, '东辛庄西站'
251, '东辛置'
252, '东逄路'
253, '东郭庄'
254, '东郭庄社区'
255, '东门外'
256, '东陈'
257, '东陡崖站'
258, '东院上'
259, '东韩'
260, '东风'
261, '东风小学'
262, '东风小学站'
263, '东风日产家盛4S店'
264, '东风馨苑'
265, '东马家庄站'
266, '东麦窑'
267, '东黄埠'
268, '东龙古'
269, '两埠岸'
270, '两江路'
271, '两河地铁站'
272, '两河路'
273, '两河路首末站'
274, '中云振华教育集团'
275, '中俄地方合作园'
276, '中农批市场'
277, '中冶东方大厦'
278, '中冶爱彼岸'
279, '中医医院'
280, '中医院'
281, '中华埠'
282, '中华埠北'
283, '中华宇客运公司'
284, '中南·漫悦湾'
285, '中国人保财险'
286, '中国人保财险站'
287, '中国剧院'
288, '中国银行'
289, '中城路德阳路'
290, '中城路德阳路站'
291, '中城路正阳中路'
292, '中央公园'
293, '中央美地'
294, '中央美术学院青岛校区'
295, '中央美院艺术创业园'
296, '中山公园'
297, '中山公园武昌路'
298, '中山公园站'
299, '中山路'
300, '中山路沧口路'
301, '中山路湖南路'
302, '中崂路东山五路'
303, '中崂路巨峰路'
304, '中崂路灵川路'
305, '中崂路金川路'
306, '中川路兴阳路'
307, '中庄扶'
308, '中康养老中心'
309, '中康国际'
310, '中德应用技术学校'
311, '中德生态园'
312, '中德生态园小学'
313, '中心医院'
314, '中心聋校'
315, '中惠产业园'
316, '中惠产业园站'
317, '中曹村'
318, '中村'
319, '中村站'
320, '中桃园'
321, '中欧国际城'
322, '中泽国货'
323, '中海油一号门'
324, '中海油中门'
325, '中海油二号门'
326, '中海熙岸'
327, '中海熙岸站'
328, '中海石油'
329, '中石油三号门'
330, '中联运动公园'
331, '中车小镇'
332, '中铁青岛世界博览城'
333, '中铁青岛世界博览城东'
334, '中集集装箱公司'
335, '中韩'
336, '中韩小学'
337, '中韩街道办事处'
338, '中黄埠'
339, '丰和苑小区'
340, '丰和路汇海路'
341, '丰年路华东路'
342, '丰年路宝源路'
343, '丰年路祥源路'
344, '丰沛路丰源路'
345, '丰沛路华东路'
346, '丰沛路华贯路'
347, '丰沛路和源路'
348, '丰泽山庄'
349, '丰泽山庄站'
350, '临时站'
351, '临河路'
352, '临洋村东'
353, '临洋村西'
354, '临港八路站'
355, '临港管委'
356, '临港路'
357, '临港路水城路'
358, '临港路水城路站'
359, '临港路站'
360, '丸鲁大'
361, '丹山'
362, '丽晶大酒店'
363, '义谭店'
364, '乌衣巷'
365, '乐业路开放路'
366, '乐业路龙门山路'
367, '乐好时代城'
368, '乐安路'
369, '乐融路'
370, '乔家洼站'
371, '乜家庄'
372, '乜家庄东'
373, '九七一医院'
374, '九上沟景区'
375, '九上沟景区站'
376, '九方泰禾'
377, '九方海悦华庭'
378, '九水东路合川路'
379, '九水东路合川路站'
380, '九水东路宾川路'
381, '九水东路崂山路'
382, '九水东路永川路'
383, '九水东路永川路站'
384, '九水西路青山路'
385, '九水路向阳路'
386, '九江路'
387, '九江路开平路站'
388, '九江路武宁路'
389, '九连山路珠江路'
390, '九龙潭生态园'
391, '九龙社区'
392, '九龙社区(东岳东路)'
393, '书云东路华安路'
394, '书城'
395, '书院社区'
396, '书院路小学'
397, '书院路峰山路'
398, '书香嘉苑'
399, '书香怡景园'
400, '书香泮城西'
401, '二中'
402, '二中站'
403, '二中路口'
404, '二甲'
405, '二轻新村'
406, '二钢'
407, '二龙山'
408, '于哥庄'
409, '于哥庄村'
410, '于哥庄村西'
411, '于家官庄'
412, '于家官庄站'
413, '于家屯'
414, '于家村'
415, '于家沟村'
416, '云南路汶上路'
417, '云南路磁山路'
418, '云坛路'
419, '云头崮'
420, '云头崮小学'
421, '云桥'
422, '云桥花园'
423, '云顶山路山王河路'
424, '五中'
425, '五中站'
426, '五台山路大旭山路'
427, '五四广场'
428, '五四广场站'
429, '五四广场西站'
430, '五星金属公司'
431, '五道口'
432, '五道口站'
433, '五顺公司'
434, '五顺公司站'
435, '五龙'
436, '五龙沟'
437, '五龙沟西'
438, '井冈山路'
439, '井冈山路地铁站'
440, '井冈山路地铁站D口'
441, '井冈山路地铁站珠江路站'
442, '井冈山路太行山二支路'
443, '井冈山路富春江路'
444, '井头'
445, '井戈庄'
446, '井戈庄站'
447, '亚东集团'
448, '亚是加'
449, '亚盛数控站'
450, '亚飞车行站'
451, '交警大队站'
452, '交警大队西'
453, '交通运输服务中心'
454, '产芝'
455, '亨达集团'
456, '京口'
457, '京口东'
458, '京口西'
459, '京口路青峰路'
460, '京口路顺河路'
461, '京源医院'
462, '人才公寓'
463, '人民会堂'
464, '人民医院'
465, '人民医院东'
466, '人民医院东站'
467, '人民医院站'
468, '人民财产保险'
469, '人民路嘉兴路站'
470, '人民路抚顺路'
471, '人民路抚顺路站'
472, '人民路瑞昌路'
473, '人民路瑞昌路1'
474, '人民路瑞昌路2站'
475, '人民路瑞昌路站'
476, '人民路铁岭路'
477, '人民路阜新路'
478, '人民银行'
479, '仁兆'
480, '仁和居'
481, '仇家沟岔'
482, '仉官寨东'
483, '仙家寨'
484, '仙家寨(汽车北站)'
485, '仙家寨仙山东路'
486, '仙家寨社区'
487, '仙山东路黑龙江中路'
488, '仙山支路'
489, '仙霞岭路深圳路'
490, '代家院'
491, '仰口'
492, '仰口社区'
493, '仰口路'
494, '仰岭'
495, '仲家'
496, '仲戈庄'
497, '仲戈庄村'
498, '仲村小区'
499, '任家岭'
500, '伊春路'
501, '伊春路佳木斯路站'
502, '伊春路南京路站'
503, '优客'
504, '会展中心'
505, '伟东尚城'
506, '体育馆'
507, '体育馆站'
508, '何家'
509, '何家社区'
510, '佛涛路'
511, '佛耳崖'
512, '佛耳崖东'
513, '佳乐家'
514, '佳木斯二路'
515, '佳木斯路北站'
516, '佳驿商务宾馆'
517, '依云小镇'
518, '依泉路温泉一路'
519, '侯家庄'
520, '侯家庄社区'
521, '侯家段河'
522, '侯家段河社区'
523, '便民中心北'
524, '保儿'
525, '保儿馨都'
526, '保子埠'
527, '保税港区东门1'
528, '保税港区东门2'
529, '保税港区北门'
530, '保税港区西门'
531, '保税港区西门站'
532, '保税物流中心东'
533, '保税物流中心站'
534, '信号山公园站'
535, '信泰怡和科技园站'
536, '信达医院'
537, '信阳'
538, '信阳一村'
539, '信阳北'
540, '信阳北站'
541, '信阳大集'
542, '傅家埠'
543, '傅家埠南站'
544, '傍海中路湖岛路'
545, '傍海中路瑞昌路'
546, '傍海中路镇平支路'
547, '元宁路乐海路'
548, '元泰银行(南)'
549, '元泰银行南站'
550, '元硕路丰海路'
551, '光大梦之都'
552, '光大梦之都站'
553, '光大集团'
554, '光大集团站'
